곡명,라인,제목점수,길이점수,후렴점수,최고빈도점수,평균빈도점수
팔도강산,뭣좀 묵엇단까,0,2,1,1,1
팔도강산,요 비빔밥 갑이랑께,0,3,1,17,5.2
팔도강산,아직 씨부리잠 세발의 피이니께,0,4,1,17,3.6
팔도강산,쫌따 벼 개안하게 풀어블라니까,0,4,1,10,2.4
팔도강산,가가 가가 이런 말은 아나,0,5,1,8,2.4
팔도강산,갱상도는 억시다고 누가 그카노,0,4,1,17,3.9
팔도강산,머라케샀노 갱상도 정하모,0,3,1,4,2.2
팔도강산,아나바다 같은거지 모,0,3,1,17,5.2
팔도강산,니가 직접와서 한번봐라,0,3,1,3,1.8
팔도강산,아 대따 마,0,3,1,3,2
팔도강산,대구 머스마라서,0,2,1,2,1.5
팔도강산,두 말 안한다카이,0,3,1,17,6.3
팔도강산,하모하모 갱상도 쥑인다 아인교,0,4,1,4,2.7
팔도강산,아주라 마 우리가 어디 남인교,0,5,1,17,8.3
팔도강산,(시방 머라고라?) 흐미~ 아찌아쓰까나,0,4,1,17,6.2
팔도강산,전라도 씨부림땜시,0,2,1,10,4.7
팔도강산,아구지 막혀브러싸야,0,2,1,3,1.7
팔도강산,흑산도 홍어코,0,2,1,1,1
팔도강산,한방 잡수믄 된디,0,3,1,3,1.8
팔도강산,온몸 구녕이란 구녕은,0,3,1,17,5.5
팔도강산,막 다 뚫릴 텬디,0,4,1,6,2.2
팔도강산,거시기 뭐시기 음… 괜찮것소?,0,4,1,4,1.9
팔도강산,아직 팔구월 풍월 나 애가졌소,0,5,1,5,2
팔도강산,무등산 수박 크기,0,3,1,1,1
팔도강산,20키로 장사여,0,2,1,1,1
팔도강산,겉만 봐도 딱,0,3,1,3,2.3
팔도강산,가시내 울릴 방탄여,0,3,1,1,1
팔도강산,서울 강원부터 경상도,0,3,8,10,9
팔도강산,충청도부터 전라도,0,2,8,10,9
팔도강산,마마 머라카노 (what),0,3,8,15,11.6
팔도강산,마마 머라카노 (what),0,3,8,15,11.6
팔도강산,서울 강원부터 경상도,0,3,8,10,9
팔도강산,충청도부터 전라도,0,2,8,10,9
팔도강산,우리가 와불따고 전하랑께 (what),0,4,4,17,11.3
팔도강산,우린 멋져부러 허벌라게,0,3,4,12,6
팔도강산,(j-hope and suga talking),0,4,1,15,4.5
팔도강산,아 이 촌놈들 난,0,4,1,17,6.8
팔도강산,seoul state of mind,0,4,1,1,1
팔도강산,난 서울에서 나서,0,3,1,10,6.7
팔도강산,서울말 잘 배웠다,0,3,1,10,5
팔도강산,요즘은 뭐 어디,0,3,1,3,2
팔도강산,사투리가 다 벼슬이다만,0,3,1,17,7
팔도강산,그래 인정할게,0,2,1,10,3.8
팔도강산,악센트들이 멋은 있다 (huh?),0,4,1,15,6
팔도강산,하지만 여긴,0,2,1,1,1
팔도강산,표준인 만큼 정직해,0,3,1,17,6
팔도강산,처음과 끝이 분명하고,0,3,1,10,3.2
팔도강산,딱 정립된,0,2,1,3,2.3
팔도강산,한국말의 표본으로 정리되지,0,3,1,3,1.8
팔도강산,only ours goes with english,0,5,1,1,1
팔도강산,y'all never understand it,0,4,1,1,1
팔도강산,okay 솔직히 솔직해질게,0,3,1,10,3.2
팔도강산,경상도 사투리는 남자라면,0,3,1,9,4.7
팔도강산,쓰고 싶게 만들어,0,3,1,2,1.3
팔도강산,전라도 말들은,0,2,1,10,8.7
팔도강산,너무나 친근해,0,2,1,1,1
팔도강산,한번 입에 담으면,0,3,1,1,1
팔도강산,어우야 내가 다 기쁘네,0,4,1,6,2.8
팔도강산,why keep fighting,0,3,1,1,1
팔도강산,결국 같은 한국말들,0,3,1,8,3.5
팔도강산,올려다 봐 이렇게,0,3,1,3,1.7
팔도강산,마주한 같은 하늘,0,3,1,3,1.7
팔도강산,살짝 오글거리지만,0,2,1,1,1
팔도강산,전부다 잘났어,0,2,1,6,2.7
팔도강산,말 다 통하잖아?,0,3,1,8,4.8
팔도강산,문산부터 마라도,0,2,1,1,1
팔도강산,서울 강원부터 경상도,0,3,8,10,9
팔도강산,충청도부터 전라도,0,2,8,10,9
팔도강산,마마 머라카노 (what),0,3,8,15,11.6
