곡명,라인,제목점수,길이점수,후렴점수,최고빈도점수,평균빈도점수
팔도강산,마마 머라카노 (what),0,3,8,15,11.6
팔도강산,서울 강원부터 경상도,0,3,8,10,9
팔도강산,충청도부터 전라도,0,2,8,10,9
팔도강산,우리가 와불따고 전하랑께 (what),0,4,4,17,11.3
팔도강산,우린 멋져부러 허벌라게,0,3,4,12,6
팔도강산,서울 강원부터 경상도,0,3,8,10,9
팔도강산,충청도부터 전라도,0,2,8,10,9
팔도강산,마마 머라카노 (what),0,3,8,15,11.6
팔도강산,마마 머라카노 (what),0,3,8,15,11.6
팔도강산,서울 강원부터 경상도,0,3,8,10,9
팔도강산,충청도부터 전라도,0,2,8,10,9
팔도강산,우리가 와불따고 전하랑께 (what),0,4,4,17,11.3
팔도강산,우린 멋져부러 허벌라게,0,3,4,12,6
We Are Bulletproof PT.2,(what) you’d better be nervous,0,5,3,22,11.4
We Are Bulletproof PT.2,(what) the ultimate king at the end,0,7,3,21,11.8
We Are Bulletproof PT.2,(what) we are bulletproof,0.75,4,3,24,16
We Are Bulletproof PT.2,we are bulletproof,0.75,3,3,24,14.3
We Are Bulletproof PT.2,bulletproof,0.25,1,4,10,10
We Are Bulletproof PT.2,"the name is jung kook, the nationwide scale",0,8,1,17,5.1
We Are Bulletproof PT.2,i pulled all-nighters at practice rooms,0,6,1,19,5.1
We Are Bulletproof PT.2,"instead of school, dancing and singing",0,6,1,5,2.2
We Are Bulletproof PT.2,while you guys partied,0,4,1,15,5
We Are Bulletproof PT.2,i gave up sleep for my dreams,0,7,1,19,4.4
We Are Bulletproof PT.2,"i stay up all night every day, holding my pen",0,10,1,19,3.9
We Are Bulletproof PT.2,"after the sun rises, i close my eyes",0,8,1,19,5.8
We Are Bulletproof PT.2,the double standard and all the opposition,0,7,1,17,6.7
We Are Bulletproof PT.2,"amid all that, i broke the limit of myself",0,9,1,19,6
We Are Bulletproof PT.2,"meanwhile, some are luckily picked up by an agency",0.25,9,1,9,2.1
We Are Bulletproof PT.2,and being forced to rap as they can’t sing,0,9,1,22,4.6
We Are Bulletproof PT.2,such a waste to call you a rapper,0,8,1,15,6
We Are Bulletproof PT.2,"everywhere i go, everything i do",0,6,1,19,8.3
We Are Bulletproof PT.2,i’ll show you as much as i’ve honed,0,8,2,22,10.4
We Are Bulletproof PT.2,all the people who looked down on me are now,0.25,10,2,17,5.9
We Are Bulletproof PT.2,"(oh, oh, oh, oh, oh, oh) hey, shout it out",0,10,2,21,13.2
We Are Bulletproof PT.2,"oh, if you’ve done enough like me, throw a stone at me",0,12,4,22,9.8
We Are Bulletproof PT.2,"we go hard, we have no fear",0.25,7,4,24,10.3
We Are Bulletproof PT.2,"(click click, bang bang) we just sing it like",0.25,9,8,24,16.1
We Are Bulletproof PT.2,"(click click, bang bang) we just sing it like",0.25,9,8,24,16.1
We Are Bulletproof PT.2,"oh, if you’ve done enough like me, throw a stone at me",0,12,4,22,9.8
We Are Bulletproof PT.2,"we go hard, we have no fear",0.25,7,4,24,10.3
We Are Bulletproof PT.2,"(click click, bang bang) we just sing it like",0.25,9,8,24,16.1
We Are Bulletproof PT.2,"(click click, bang bang) we just sing it like",0.25,9,8,24,16.1
We Are Bulletproof PT.2,(what) now we’ll take it,0,5,2,24,14.1
We Are Bulletproof PT.2,(what) you’d better be nervous,0,5,3,22,11.4
We Are Bulletproof PT.2,(what) the ultimate king at the end,0,7,3,21,11.8
We Are Bulletproof PT.2,(what) we are bulletproof,0.75,4,3,24,16
We Are Bulletproof PT.2,we are bulletproof,0.75,3,3,24,14.3
We Are Bulletproof PT.2,bulletproof,0.25,1,4,10,10
We Are Bulletproof PT.2,"look at my profile, i’ve got nothing yet",0,8,1,22,7
We Are Bulletproof PT.2,"still a trainee and a rapper man, yeah, i do know that’s nothin'",0,13,1,22,5.5
We Are Bulletproof PT.2,i was worried once but now no need to,0,9,1,19,4.4
We Are Bulletproof PT.2,"you’re still amateurs, i’m a major, hope you’ll be rotten like that forever",0,13,1,22,8.6
We Are Bulletproof PT.2,"like rap monster says, just like a monster i devour any kind of beat",0,14,1,19,6.1
We Are Bulletproof PT.2,"deserve to have my name? guys, come on here",0,9,1,5,2.7
